2011Zones,Bus Accessbility Count
Yoker North - 01,24.86
Yoker North - 02,28.87
Yoker North - 03,10.79
Yoker North - 04,16
Knightswood West - 01,14.24
Knightswood West - 02,33.38
Knightswood West - 03,14.43
Knightswood East - 01,12.24
Knightswood East - 02,47.48
Knightswood East - 03,39.38
Knightswood East - 04,44.16
Knightswood East - 05,46.67
Knightswood Park West - 01,53.38
Knightswood Park West - 02,20
Knightswood Park West - 03,49.52
Knightswood Park West - 04,38.24
Knightswood Park West - 05,37.29
Knightswood Park East - 01,18.92
Knightswood Park East - 02,28.42
Knightswood Park East - 04,40.62
Knightswood Park East - 05,10.52
Anniesland East - 01,14.19
Anniesland East - 02,7.24
Anniesland East - 03,51.97
Anniesland East - 04,22.49
Anniesland East - 05,41.86
Anniesland West - 01,46.24
Anniesland West - 02,31.92
Anniesland West - 03,3.01
Anniesland West - 04,17.29
Anniesland West - 05,26.64
Anniesland West - 06,3.37
Anniesland West - 07,48.75
Anniesland West - 08,28.25
Blairdardie East - 01,17.01
Blairdardie East - 02,36.67
Blairdardie East - 03,55.97
Blairdardie East - 05,34.27
Blairdardie East - 06,20.11
Blairdardie East - 07,22.44
Blairdardie West - 01,29.83
Blairdardie West - 02,39
Blairdardie West - 03,13.85
Drumchapel South - 01,99.31
Drumchapel South - 02,60.48
Drumry West - 01,49.39
Drumry West - 02,58.45
Drumry West - 03,13.1
Lochaber West - 01,0.06
Lochaber West - 02,0.09
Lochaber West - 03,0.91
Lochaber West - 04,2.18
Lochaber West - 05,0.25
Lochaber West - 06,0.58
Fort William North - 01,2.94
Fort William North - 02,7.11
Fort William North - 03,10.18
Fort William North - 04,7.55
Fort William North - 06,5.49
Fort William South - 01,5.17
Fort William South - 02,4.79
Fort William South - 03,9.63
Fort William South - 04,10.84
Fort William South - 05,1.89
Fort William South - 06,8.29
Fort William South - 07,6.56
Lochaber East and North - 01,0.67
Lochaber East and North - 02,0.3
Lochaber East and North - 03,2.52
Lochaber East and North - 04,1.57
Lochaber East and North - 05,0.21
Lochaber East and North - 06,0.37
Lochaber East and North - 07,0.1
Badenoch and Strathspey South - 01,1.28
Badenoch and Strathspey South - 02,0.06
Badenoch and Strathspey South - 03,2.4
Badenoch and Strathspey South - 04,1.73
Badenoch and Strathspey South - 05,0.95
Badenoch and Strathspey Central - 01,8.67
Badenoch and Strathspey Central - 02,12.25
Badenoch and Strathspey Central - 03,3.39
Badenoch and Strathspey Central - 04,1.17
Badenoch and Strathspey Central - 05,2.8
Badenoch and Strathspey Central - 06,0.93
Badenoch and Strathspey North - 01,0.81
Badenoch and Strathspey North - 02,0
Badenoch and Strathspey North - 03,0.56
Badenoch and Strathspey North - 04,1.75
Badenoch and Strathspey North - 05,9.23
Badenoch and Strathspey North - 06,0.47
Nairn Rural - 01,0.47
Nairn Rural - 02,1.28
Nairn Rural - 03,5.05
Nairn Rural - 04,0
Nairn Rural - 05,0.04
Nairn Rural - 06,0
Nairn East - 01,3.21
Nairn East - 02,9.59
Nairn East - 03,1.77
Nairn East - 04,1.74
Nairn East - 05,4.14
Nairn West - 01,2.26
Nairn West - 02,6.63
Nairn West - 03,0.44
Nairn West - 04,3.05
Nairn West - 06,5.35
Nairn West - 07,10.18
Inverness East Rural - 01,0.26
Inverness East Rural - 02,1.46
Inverness East Rural - 03,0.85
Inverness East Rural - 04,1.06
Inverness East Rural - 05,2.61
Inverness Culloden and Balloch - 01,14.9
Inverness Culloden and Balloch - 02,30.65
Inverness Culloden and Balloch - 03,29.65
Inverness Culloden and Balloch - 04,12.55
Inverness Culloden and Balloch - 05,5.31
Inverness Culloden and Balloch - 06,8.84
Inverness Smithton - 01,19.64
Inverness Smithton - 02,18.47
Inverness Smithton - 03,13.33
Inverness Smithton - 04,15.91
Inverness Smithton - 05,5.83
Inverness Westhill - 01,0.78
Inverness Westhill - 02,7.57
Inverness Westhill - 03,4.2
Inverness Westhill - 04,5.46
Inverness Westhill - 05,3.73
Inverness Westhill - 06,5.35
Inverness Westhill - 07,7.9
Inverness Westhill - 08,4.13
Inverness Inshes - 01,0.31
Inverness Inshes - 02,3.51
Inverness Inshes - 03,2
Inverness Inshes - 04,1.55
Inverness Inshes - 05,2.46
Inverness Inshes - 06,0.08
Inverness Slackbuie - 01,1.23
Inverness Slackbuie - 02,7.81
Inverness Slackbuie - 03,2.36
Inverness Lochardil and Holm Mains - 01,2.72
Inverness Lochardil and Holm Mains - 02,6.17
Inverness Lochardil and Holm Mains - 03,6.16
Inverness Lochardil and Holm Mains - 04,3.14
Inverness Lochardil and Holm Mains - 05,6.67
Inverness Lochardil and Holm Mains - 06,2.63
Inverness Lochardil and Holm Mains - 07,8.08
Inverness Drummond - 01,28.86
Inverness Drummond - 02,5.57
Inverness Drummond - 03,35.42
Inverness Drummond - 04,17.79
Inverness Drummond - 05,4.15
Inverness Hilton - 01,27.8
Inverness Hilton - 02,7.56
Inverness Hilton - 03,16.61
Inverness Hilton - 04,33
Inverness Hilton - 05,6.8
Inverness Drakies - 01,17.36
Inverness Drakies - 02,3
Inverness Drakies - 03,4.22
"Inverness Central, Raigmore and Longman - 01",10.16
"Inverness Central, Raigmore and Longman - 02",66.61
"Inverness Central, Raigmore and Longman - 03",14.18
"Inverness Central, Raigmore and Longman - 04",11.01
"Inverness Central, Raigmore and Longman - 06",19.31
Inverness Crown and Haugh - 01,9.89
Inverness Crown and Haugh - 02,8.23
Inverness Crown and Haugh - 03,12.14
Inverness Crown and Haugh - 04,22.15
Inverness Crown and Haugh - 05,17.86
Inverness Ballifeary and Dalneigh - 01,6.52
Inverness Ballifeary and Dalneigh - 02,0.89
Inverness Ballifeary and Dalneigh - 03,15.98
Inverness Ballifeary and Dalneigh - 04,8.59
Inverness Ballifeary and Dalneigh - 05,10.17
Inverness Ballifeary and Dalneigh - 06,11.25
Inverness Muirtown - 01,10.4
Inverness Muirtown - 02,5.09
Inverness Muirtown - 03,8.33
Inverness Muirtown - 04,8.34
Inverness Muirtown - 05,25.15
Inverness Merkinch - 01,17.84
Inverness Merkinch - 02,17.58
Inverness Scorguie - 01,3.07
Inverness Scorguie - 02,6.81
Inverness Scorguie - 03,11.27
Inverness Scorguie - 04,10.72
Inverness Scorguie - 05,9.5
Inverness Kinmylies and South West - 01,6.1
Inverness Kinmylies and South West - 02,14.42
Inverness Kinmylies and South West - 03,14.43
Inverness Kinmylies and South West - 04,17.9
Inverness Kinmylies and South West - 05,19.76
Inverness West Rural - 01,0.19
Inverness West Rural - 02,0.76
Inverness West Rural - 03,0.03
Inverness West Rural - 04,1.87
Inverness West Rural - 05,2.42
Inverness West Rural - 06,2.37
Inverness West Rural - 07,2.18
Inverness West Rural - 08,1.78
Inverness West Rural - 09,0.49
Loch Ness - 01,0.37
Loch Ness - 02,0.75
Loch Ness - 03,0.75
Loch Ness - 04,0.45
Loch Ness - 05,0.12
Lochalsh - 01,0.07
Lochalsh - 02,0.07
Lochalsh - 03,0.21
Lochalsh - 04,0.35
Skye South - 01,0.67
Skye South - 02,0.81
Skye South - 03,0.2
Skye South - 04,0.31
Skye North East - 01,0.16
Skye North East - 03,2.88
Skye North East - 04,2.93
Skye North East - 05,0.31
Skye North West - 01,0.24
Skye North West - 02,0.67
Skye North West - 03,0.18
Skye North West - 04,0.13
Ross and Cromarty South West - 01,0.11
Ross and Cromarty South West - 02,0.22
Ross and Cromarty South West - 03,0.18
Ross and Cromarty South West - 04,0.29
Ross and Cromarty North West - 01,1.72
Ross and Cromarty North West - 02,0.03
Ross and Cromarty North West - 03,0.73
Ross and Cromarty North West - 04,0.87
Ross and Cromarty North West - 05,0.27
Ross and Cromarty Central - 01,0
Ross and Cromarty Central - 02,2.21
Ross and Cromarty Central - 03,0.69
Ross and Cromarty Central - 04,0.17
Ross and Cromarty East - 01,0
Ross and Cromarty East - 02,0.64
Ross and Cromarty East - 03,1.9
Ross and Cromarty East - 04,0.35
Muir of Ord - 01,0
Muir of Ord - 02,0.97
Muir of Ord - 03,0.61
Muir of Ord - 04,3.05
Conon - 01,0
Conon - 02,6.58
Conon - 03,5.16
Conon - 04,3.24
Conon - 05,3.56
Dingwall - 01,2.7
Dingwall - 02,1.76
Dingwall - 03,2.94
Dingwall - 04,1.96
Dingwall - 05,8.89
Dingwall - 06,2.89
Dingwall - 07,0.41
Black Isle South - 01,1.96
Black Isle South - 02,2.82
Black Isle South - 03,2.91
Black Isle South - 04,3.09
Black Isle South - 05,0
Black Isle South - 06,1.12
Black Isle South - 07,0
Black Isle South - 08,3.44
Black Isle North - 01,0.64
Black Isle North - 02,0.68
Black Isle North - 03,0.16
Black Isle North - 04,0.39
Black Isle North - 05,3.17
Alness - 03,1.97
Alness - 05,0.77
Alness - 06,2.17
Alness - 07,0
Alness - 08,2.26
Invergordon - 02,1.68
Invergordon - 03,1.03
Invergordon - 05,3.76
Invergordon - 06,5.75
Seaboard - 01,0.83
Seaboard - 02,3.21
Seaboard - 03,0.7
Seaboard - 04,0.2
Seaboard - 05,0.58
Seaboard - 06,1.3
Tain - 01,5.19
Tain - 02,0.89
Tain - 03,5.95
Tain - 04,3.59
Tain - 05,2.57
Sutherland South - 01,0.13
Sutherland South - 02,0
Sutherland South - 03,0.51
Sutherland South - 04,1.66
Sutherland South - 05,0.03
Sutherland South - 06,0.18
Sutherland South - 07,0.4
Sutherland South - 08,0.16
Sutherland South - 09,1.03
Sutherland East - 01,2.73
Sutherland East - 02,1.44
Sutherland East - 03,1.69
Sutherland East - 05,0.57
Sutherland East - 06,0.66
Caithness South - 01,0.28
Caithness South - 02,0.95
Caithness South - 03,1.16
Caithness South - 04,1.06
Wick South - 01,3.4
Wick South - 04,2.05
Wick South - 05,4.62
Wick South - 06,4.76
Wick North - 01,11.11
Wick North - 02,4.46
Wick North - 03,3.65
Wick North - 04,2.76
Wick North - 05,2.15
Caithness North East - 01,0.89
Caithness North East - 02,1.97
Caithness North East - 03,0.43
Caithness North East - 04,1.5
Caithness North East - 05,0.51
Caithness North West - 01,2.89
Caithness North West - 02,1.35
Caithness North West - 03,0.51
Caithness North West - 04,2.34
Caithness North West - 05,0.91
Caithness North West - 06,1.66
Caithness North West - 07,0.4
Thurso East - 01,10.66
Thurso East - 02,4.51
Thurso East - 03,3.33
Thurso East - 04,2.3
Thurso West - 01,8.03
Thurso West - 02,5.58
Thurso West - 03,4.44
Thurso West - 04,4.54
Thurso West - 05,1.98
Thurso West - 06,2.2
Thurso West - 07,1.07
Sutherland North and West - 01,0.24
Sutherland North and West - 02,0.02
Sutherland North and West - 03,0.09
Sutherland North and West - 05,0.19
Sutherland North and West - 06,0.61
Kilmacolm Central - 01,14.41
Kilmacolm Central - 02,0.5
Kilmacolm Central - 03,12.61
"Kilmacolm, Quarriers, Greenock Upper East/Central - 01",4.36
"Kilmacolm, Quarriers, Greenock Upper East/Central - 03",1.39
"Kilmacolm, Quarriers, Greenock Upper East/Central - 04",1.33
"Kilmacolm, Quarriers, Greenock Upper East/Central - 05",13.43
Inverkip and Wemyss Bay - 01,0
Inverkip and Wemyss Bay - 02,0
Inverkip and Wemyss Bay - 03,7.47
Inverkip and Wemyss Bay - 04,1.1
Inverkip and Wemyss Bay - 05,0.07
Inverkip and Wemyss Bay - 06,4.89
Inverkip and Wemyss Bay - 07,3.19
"West Braeside, East Inverkip and West Gourock - 01",0.98
"West Braeside, East Inverkip and West Gourock - 02",0
"West Braeside, East Inverkip and West Gourock - 03",3.73
"West Braeside, East Inverkip and West Gourock - 04",11.43
Gourock Upper and West Central and Upper Larkfield - 01,24.6
Gourock Upper and West Central and Upper Larkfield - 02,22.08
Gourock Upper and West Central and Upper Larkfield - 03,26.19
Gourock Upper and West Central and Upper Larkfield - 04,18.91
Gourock Upper and West Central and Upper Larkfield - 05,25.65
Gourock Upper and West Central and Upper Larkfield - 06,24.02
"Gourock Central, Upper East and IRH - 01",45.25
"Gourock Central, Upper East and IRH - 02",29.63
"Gourock Central, Upper East and IRH - 03",32.32
"Gourock Central, Upper East and IRH - 04",27.09
"Gourock Central, Upper East and IRH - 05",28.26
"Gourock Central, Upper East and IRH - 06",12.1
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 01",25.23
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 02",23.89
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 04",27.48
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 05",14.4
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 06",26.57
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 07",17.06
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 08",22.22
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 01",54.43
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 02",23.34
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 03",51.89
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 04",52.51
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 05",29.94
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 06",92.75
"Gourock East, Greenock West and Lyle Road - 01",26.45
"Gourock East, Greenock West and Lyle Road - 02",14.22
"Gourock East, Greenock West and Lyle Road - 03",24.93
"Gourock East, Greenock West and Lyle Road - 04",14.73
"Gourock East, Greenock West and Lyle Road - 05",34.33
"Gourock East, Greenock West and Lyle Road - 06",27.04
"Gourock East, Greenock West and Lyle Road - 07",0.57
Greenock West and Central - 01,34.54
Greenock West and Central - 02,48.32
Greenock West and Central - 03,125.76
Greenock West and Central - 04,178.02
Greenock West and Central - 05,10.83
Greenock West and Central - 06,94.59
Greenock West and Central - 07,54.05
Greenock West and Central - 08,18.05
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 01",53.56
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 02",52.13
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 04",10.17
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 05",2.39
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 06",6.51
Greenock Upper Central - 01,13.72
Greenock Upper Central - 02,40.85
Greenock Upper Central - 03,25.6
Greenock Upper Central - 04,34.44
Greenock Upper Central - 05,15.4
Greenock Town Centre and East Central - 01,127.34
Greenock Town Centre and East Central - 03,64.7
Greenock Town Centre and East Central - 04,56.81
Greenock Town Centre and East Central - 05,54.87
Greenock Town Centre and East Central - 06,56.61
Greenock Town Centre and East Central - 07,59.69
Greenock East - 02,23.33
Greenock East - 03,13.97
Greenock East - 05,24.06
Greenock East - 08,23.14
Greenock East - 09,20.87
"Port Glasgow Upper, West and Central - 01",0
"Port Glasgow Upper, West and Central - 02",23.13
"Port Glasgow Upper, West and Central - 03",42.29
"Port Glasgow Upper, West and Central - 04",110.49
"Port Glasgow Upper, West and Central - 05",119.74
"Port Glasgow Upper, West and Central - 06",45.64
"Port Glasgow Upper, West and Central - 07",7.58
"Port Glasgow Upper, West and Central - 08",12.09
"Port Glasgow Mid, East and Central - 01",24.05
"Port Glasgow Mid, East and Central - 02",16.78
"Port Glasgow Mid, East and Central - 03",20.74
"Port Glasgow Mid, East and Central - 04",15.61
"Port Glasgow Mid, East and Central - 05",23.57
Port Glasgow Upper East - 01,35.9
Port Glasgow Upper East - 03,34.91
Port Glasgow Upper East - 05,28.84
Port Glasgow Upper East - 07,23.62
Rural South Midlothian - 01,2.68
Rural South Midlothian - 02,0.07
Rural South Midlothian - 03,12.17
Rural South Midlothian - 04,3.44
Penicuik Southeast - 01,15.91
Penicuik Southeast - 02,18.92
Penicuik Southeast - 03,60.36
Penicuik Southeast - 04,17.73
Penicuik Southeast - 05,33.73
Penicuik Southwest - 01,8.47
Penicuik Southwest - 02,18.8
Penicuik Southwest - 03,18.57
Penicuik Southwest - 04,17.12
Penicuik Southwest - 05,2.41
Penicuik Southwest - 06,46.52
Penicuik East - 01,14.58
Penicuik East - 02,14.81
Penicuik East - 03,14.79
Penicuik East - 04,12.15
Penicuik North - 01,1.11
Penicuik North - 02,17.2
Penicuik North - 03,4.4
Penicuik North - 04,13.8
Penicuik North - 05,5.02
Pentland - 01,12.87
Pentland - 02,4.41
Pentland - 03,2.65
Roslin and Bilston - 01,6.89
Roslin and Bilston - 02,16.45
Roslin and Bilston - 03,24.7
Roslin and Bilston - 04,14.43
Roslin and Bilston - 05,24.49
Straiton - 02,11.36
Straiton - 03,1.24
Straiton - 04,20.74
Loanhead - 01,21.76
Loanhead - 02,15
Loanhead - 03,18.97
Loanhead - 04,16.62
Loanhead - 05,8.54
Bonnyrigg South - 01,9.15
Bonnyrigg South - 02,3.59
Bonnyrigg South - 03,19.43
Bonnyrigg South - 04,14.11
Bonnyrigg South - 06,11.09
Bonnyrigg South - 07,14.49
Bonnyrigg North - 01,23.41
Bonnyrigg North - 02,0
Bonnyrigg North - 03,36.64
Bonnyrigg North - 04,43.01
Bonnyrigg North - 05,16.72
Bonnyrigg North - 06,31.67
Bonnyrigg North - 07,6.23
Newbattle and Dalhousie - 01,12.07
Newbattle and Dalhousie - 02,8.27
Newbattle and Dalhousie - 03,5.75
Newbattle and Dalhousie - 04,1.23
Newbattle and Dalhousie - 05,12.8
Newbattle and Dalhousie - 06,8.01
Newbattle and Dalhousie - 07,11.54
Newbattle and Dalhousie - 08,0
Newbattle and Dalhousie - 09,11.52
Eskbank - 01,3.46
Eskbank - 02,18.68
Eskbank - 03,30.04
Eskbank - 04,4.89
Eskbank - 05,31.17
Eskbank - 06,33.61
Shawfair - 01,6.31
Shawfair - 02,19.31
Shawfair - 03,3.58
Shawfair - 04,7.12
Shawfair - 05,7.19
Thornybank - 01,7.72
Thornybank - 02,7.46
Thornybank - 03,14.8
Thornybank - 04,11.05
Dalkeith - 01,59.5
Dalkeith - 02,19.02
Dalkeith - 03,27.23
Dalkeith - 04,32.18
Pathhead and Rural East Midlothian - 01,19.92
Pathhead and Rural East Midlothian - 03,1.26
Pathhead and Rural East Midlothian - 04,0.89
Pathhead and Rural East Midlothian - 05,3.35
Pathhead and Rural East Midlothian - 06,0.7
Pathhead and Rural East Midlothian - 07,1.1
Easthouses - 01,12.83
Easthouses - 02,13.02
Easthouses - 03,19.02
Easthouses - 04,36.15
Mayfield - 01,23.79
Mayfield - 03,39.75
Mayfield - 05,14.14
Mayfield - 06,9.51
Newtongrange - 01,10.88
Newtongrange - 02,13.57
Newtongrange - 03,2.12
Newtongrange - 04,43.72
Newtongrange - 05,8.75
Newtongrange - 06,25.95
North Gorebridge - 01,23.92
North Gorebridge - 02,14.53
North Gorebridge - 03,18.92
Gorebridge and Middleton - 01,9.22
Gorebridge and Middleton - 02,41.74
Gorebridge and Middleton - 03,10.84
Gorebridge and Middleton - 04,10.33
Gorebridge and Middleton - 05,28.08
South Speyside and the Cabrach - 01,0.04
South Speyside and the Cabrach - 02,0.02
South Speyside and the Cabrach - 03,0.22
South Speyside and the Cabrach - 04,2.17
South Speyside and the Cabrach - 05,0.85
North Speyside - 01,0.04
North Speyside - 02,1.24
North Speyside - 03,5.91
North Speyside - 04,1.26
North Speyside - 05,1.26
Rural Keith and Strathisla - 01,0
Rural Keith and Strathisla - 02,0
Rural Keith and Strathisla - 03,0
Rural Keith and Strathisla - 04,0
Rural Keith and Strathisla - 05,0
Keith and Fife Keith - 01,1.3
Keith and Fife Keith - 02,1.95
Keith and Fife Keith - 03,1.85
Keith and Fife Keith - 04,0.26
Keith and Fife Keith - 05,2.55
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 01",1.02
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 02",2.06
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 03",1.87
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 04",3.1
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 05",3.67
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 06",4.08
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 07",5.19
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 08",1
Buckie Central East - 01,4.42
Buckie Central East - 02,6.72
Buckie Central East - 03,2.78
Buckie Central East - 04,4.44
Buckie Central East - 05,3.11
Buckie West and Mains of Buckie - 01,3.59
Buckie West and Mains of Buckie - 02,5.72
Buckie West and Mains of Buckie - 03,4.97
Buckie West and Mains of Buckie - 04,2.02
Buckie West and Mains of Buckie - 05,1.4
"Mosstodloch, Portgordon and seaward - 01",3.13
"Mosstodloch, Portgordon and seaward - 02",0.44
"Mosstodloch, Portgordon and seaward - 03",0.55
"Mosstodloch, Portgordon and seaward - 04",1.42
"Mosstodloch, Portgordon and seaward - 05",4.73
"Fochabers, Aultmore, Clochan and Ordiquish - 01",7.79
"Fochabers, Aultmore, Clochan and Ordiquish - 03",0
"Heldon West, Fogwatt to Inchberry - 01",0
"Heldon West, Fogwatt to Inchberry - 03",0.5
"Heldon West, Fogwatt to Inchberry - 04",0
"Heldon West, Fogwatt to Inchberry - 05",0
"Lhanbryde, Urquhart, Pitgavney and seaward - 01",0
"Lhanbryde, Urquhart, Pitgavney and seaward - 02",0.29
"Lhanbryde, Urquhart, Pitgavney and seaward - 03",2.22
"Lhanbryde, Urquhart, Pitgavney and seaward - 04",2.46
"Lhanbryde, Urquhart, Pitgavney and seaward - 05",8.32
Elgin Cathedral to Ashgrove and Pinefield - 01,3.78
Elgin Cathedral to Ashgrove and Pinefield - 02,2.66
Elgin Cathedral to Ashgrove and Pinefield - 03,15.45
Elgin Cathedral to Ashgrove and Pinefield - 04,6.67
Elgin Cathedral to Ashgrove and Pinefield - 05,3.85
Elgin Cathedral to Ashgrove and Pinefield - 06,7.54
New Elgin East - 01,3.12
New Elgin East - 02,9.17
New Elgin East - 03,7.76
New Elgin East - 04,15.65
New Elgin East - 05,14.07
New Elgin West - 01,6.9
New Elgin West - 02,8.78
New Elgin West - 03,5.8
New Elgin West - 04,11.02
New Elgin West - 05,7
Elgin Central West - 01,4.87
Elgin Central West - 02,3.86
Elgin Central West - 03,1.85
Elgin Central West - 04,2.47
Elgin Bishopmill East and Ladyhill - 01,17.33
Elgin Bishopmill East and Ladyhill - 02,10.21
Elgin Bishopmill East and Ladyhill - 03,7.01
Elgin Bishopmill East and Ladyhill - 04,2.65
Elgin Bishopmill East and Ladyhill - 05,1.22
Elgin Bishopmill West and Newfield - 03,6.83
Elgin Bishopmill West and Newfield - 04,1.87
Elgin Bishopmill West and Newfield - 05,9.24
Lossiemouth East and Seatown - 01,3.32
Lossiemouth East and Seatown - 02,4.58
Lossiemouth East and Seatown - 03,0
Lossiemouth East and Seatown - 04,6.9
Lossiemouth East and Seatown - 05,2.02
Lossiemouth West - 01,1.44
Lossiemouth West - 02,0.93
Lossiemouth West - 03,1.46
Lossiemouth West - 04,1.27
Lossiemouth West - 05,5.05
Lossiemouth West - 06,3.45
"Burghead, Roseisle and Laich - 01",0.35
"Burghead, Roseisle and Laich - 02",1.95
"Burghead, Roseisle and Laich - 03",1.21
"Burghead, Roseisle and Laich - 04",1.89
"Burghead, Roseisle and Laich - 05",2.14
"Burghead, Roseisle and Laich - 06",3.65
"Findhorn, Kinloss and Pluscarden Valley - 01",1.05
"Findhorn, Kinloss and Pluscarden Valley - 02",0.37
"Findhorn, Kinloss and Pluscarden Valley - 03",1.29
"Findhorn, Kinloss and Pluscarden Valley - 04",2.22
"Findhorn, Kinloss and Pluscarden Valley - 05",1.75
Forres Central East and seaward - 01,9.13
Forres Central East and seaward - 02,13.05
Forres Central East and seaward - 03,11.38
Forres Central East and seaward - 04,0
Forres Central East and seaward - 05,2.36
Forres Central East and seaward - 06,0.04
Forres South West and Mannachie - 01,3.18
Forres South West and Mannachie - 02,4.12
Forres South West and Mannachie - 03,2.18
Forres South West and Mannachie - 04,0.49
Forres South West and Mannachie - 05,1.44
Forres South West and Mannachie - 06,0
Forres South West and Mannachie - 07,0.51
Forres South West and Mannachie - 08,0
"Rafford, Dallas, Dyke to Dava - 01",0.62
"Rafford, Dallas, Dyke to Dava - 02",0
"Rafford, Dallas, Dyke to Dava - 03",0
"Rafford, Dallas, Dyke to Dava - 04",0.74
Arran - 01,1.03
Arran - 02,0.95
Arran - 03,2.05
Arran - 04,1.13
Arran - 05,2.25
Arran - 06,2.73
Arran - 07,2.6
Springside and Rural - 01,3.97
Springside and Rural - 02,27.69
Springside and Rural - 03,25.78
Springside and Rural - 04,4.91
Springside and Rural - 05,0
Irvine Tarryholme - 01,4.65
Irvine Tarryholme - 02,3.29
Irvine Tarryholme - 03,49.84
Irvine Tarryholme - 04,22.57
Dreghorn - 01,22.07
Dreghorn - 02,14.5
Dreghorn - 03,26.36
Dreghorn - 04,21.65
Irvine Broomlands - 01,17.05
Irvine Broomlands - 02,23.14
Irvine Bourtreehill - 01,19.68
Irvine Bourtreehill - 02,21.69
Irvine Girdle Toll and Staneca - 01,15.87
Irvine Girdle Toll and Staneca - 02,6.42
Irvine Girdle Toll and Staneca - 03,27.74
Irvine Girdle Toll and Staneca - 04,25.89
Irvine Girdle Toll and Staneca - 05,30.49
Irvine Girdle Toll and Staneca - 06,11.55
Irvine Perceton and Lawthorn - 01,1.26
Irvine Perceton and Lawthorn - 02,2.31
Irvine Perceton and Lawthorn - 03,2.06
Irvine Perceton and Lawthorn - 04,26.77
Irvine Perceton and Lawthorn - 05,34.47
Irvine Perceton and Lawthorn - 06,6.71
Irvine Perceton and Lawthorn - 07,11.14
Irvine Castlepark North - 02,16.28
Irvine Castlepark North - 03,13.73
Irvine Castlepark North - 04,22.74
Irvine Castlepark North - 05,63.75
Irvine Castlepark South - 01,58.72
Irvine Castlepark South - 04,19.81
Irvine East - 01,23.74
Irvine East - 02,27.53
Irvine East - 03,25.05
Irvine East - 04,29.19
Irvine Central - 02,53.68
Irvine Central - 03,125.39
Irvine Central - 04,88.39
Irvine Fullarton - 01,91.29
Irvine Fullarton - 03,10.9
Irvine Fullarton - 04,4.15
Stevenston Ardeer - 01,5.83
Stevenston Ardeer - 02,6.99
Stevenston Ardeer - 03,10.99
Stevenston Ardeer - 04,15.68
Saltcoats Central - 01,6.17
Saltcoats Central - 02,9.64
Saltcoats Central - 03,39.55
Saltcoats Central - 04,40.58
Saltcoats Central - 05,25.68
Ardrossan Central - 01,22.02
Ardrossan Central - 02,46.4
Ardrossan Central - 03,42.34
Ardrossan Central - 04,25.33
Ardrossan North West - 01,17.97
Ardrossan North West - 02,6.53
Ardrossan North West - 03,10.81
Ardrossan North West - 04,17.85
Ardrossan North East - 01,45.74
Ardrossan North East - 02,33.06
Ardrossan North East - 04,48.62
Ardrossan North East - 05,8.62
Saltcoats North West - 01,2.62
Saltcoats North West - 04,18.12
Saltcoats North West - 05,42.89
Saltcoats North West - 06,17.58
Saltcoats North East - 01,18.35
Saltcoats North East - 02,15.48
Saltcoats North East - 03,15.6
Saltcoats North East - 05,26.47
Saltcoats North East - 06,12.06
Stevenston North West - 01,6.85
Stevenston North West - 04,21.57
Stevenston North West - 05,38.61
Stevenston Hayocks - 01,25.82
Stevenston Hayocks - 03,32.53
Stevenston Hayocks - 05,15.82
Kilwinning Whitehirst Park and Woodside - 01,14.07
Kilwinning Whitehirst Park and Woodside - 02,2.87
Kilwinning Whitehirst Park and Woodside - 03,5.11
Kilwinning Whitehirst Park and Woodside - 04,4.01
Kilwinning Whitehirst Park and Woodside - 05,11.01
Kilwinning Whitehirst Park and Woodside - 06,3.94
Kilwinning Whitehirst Park and Woodside - 07,2.08
Kilwinning Whitehirst Park and Woodside - 08,0.52
Kilwinning Pennyburn - 01,28.27
Kilwinning Pennyburn - 03,12.65
Kilwinning Pennyburn - 04,26.37
Kilwinning West and Blacklands - 01,6.33
Kilwinning West and Blacklands - 02,16.53
Kilwinning West and Blacklands - 03,19.99
